date,git_branch,config,simulator_version,agent_version,n_games,win_rate,avg_steps,runtime,output_path,notes
2026-06-16 22:51:49,main,baseline.yaml,cabt,random,10,,45.6,3.0,outputs/logs/results.json,Kaggle v6: random baseline with sample deck
2026-06-18 00:00:00,main,bandit.yaml,cabt,bandit-v1,10,0.2,70.8,5.0,outputs/logs/results.json,Kaggle v14: bandit self-play (p0 vs p1, seeds 42/100). p0 win 2/10. agent learns within-game (n_arms/up to 128 updates). no errors.
2026-06-19 10:35:00,main,docker_eval,cg,bandit-v1,100,0.24,50.3,8.1,outputs/logs/docker_results.json,Local Docker eval via cg package (QEMU x86). Bandit vs bandit self-play. ~81ms/game.
2026-06-30 10:42:00,tcg/bc-ul,bc-ul-l0.25,cabt,bc-ul-v1,,0.52,,622,outputs/logs/bcppo/weights/bc.npz,Kaggle v13: BC+UL (lambda_u=0.25). 361k pairs (185k win/175k lose) from 2 datasets. 2996 episodes train 2697/val 299 leakage 0. Early stop epoch 7 (best epoch 2). val_bc_loss 1.48 val_acc_win 0.52. UL destabilised after epoch 2 (train loss -> -1.71 val -> 5.29). Weights: outputs/logs/bcppo/weights/bc.npz
2026-06-30 13:43:00,tcg/bc-ul,bc-pure-l0,cabt,bc-v2,,0.53,,3004,outputs/logs/bcppo/weights/bc.npz,Kaggle v14: pure BC (l0 lr=1e-4 drop=0.1) deck match + Elo filter (top 200/669 agents). 296k pairs (64% win/36% lose) from 5 datasets. Deck: Alakazam 67% Lucario 12% Crustle 1% unknown 20%. Full 25 epochs. val_bc 1.40 acc 0.53. No overfit.
